Fri Sep  6 10:54:39 2024    output.prof

         9370 function calls (9362 primitive calls) in 0.009 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      5/3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
        7    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:9(strreadvalue)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:467(LIST)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1151(_cache_bytecode)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\anaconda3\Lib\site-packages\_distutils_hack\__init__.py:82(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        6    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:252(makecopy)
        4    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:37(MAKEINTEGER)
       34    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
        3    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:135(addvar)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:29(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:202(VALUE)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:30(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:94(LEFTSIDE)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:511(placevalue)
        1    0.000    0.000    0.009    0.009 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\topy.py:267(WRITEINTEGER)
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:646(returntooldlocals)
        3    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       20    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:23(line)
        2    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:331(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       10    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\yonat\PycharmProjects\tzefa\Tzefa-Language\createdpython.py:292(mod)
